,it,it_time,total_time,total_area,energy,sat_0_x,sat_0_y,sat_1_x,sat_1_y,sat_2_x,sat_2_y,sat_3_x,sat_3_y,sat_4_x,sat_4_y,sat_5_x,sat_5_y,sat_6_x,sat_6_y,sat_7_x,sat_7_y,sat_8_x,sat_8_y,sat_9_x,sat_9_y,sat_10_x,sat_10_y,sat_11_x,sat_11_y,sat_12_x,sat_12_y,sat_13_x,sat_13_y,sat_14_x,sat_14_y
312,312,0.011638641357421875,4.688387632369995,162999.90564152852,0.0,6.792157037902992,-1.3976045862516473,3.4362139523172166,9.32075580895769,6.102673970449903,-0.3337574282759207,-1.3096565553806765,-0.5002553017537616,4.939203104952702,-9.490490448180687,-6.158969447502237,1.0948303825366419,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,1.6971390369203894,-5.719702057926638,11.491601174761023,-5.003914137545331,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,10.079104721067996,4.443738760805761,-2.5493465403346156,3.4723396379566025
313,313,0.011413097381591797,4.699800729751587,162941.5455440231,0.0,6.792157037902992,-1.3976045862516473,3.4362139523172166,9.32075580895769,6.102673970449903,-0.3337574282759207,-1.3096565553806765,-0.5002553017537616,4.939203104952702,-9.490490448180687,-6.158969447502237,1.0948303825366419,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,0.6971390369203894,-5.719702057926638,11.491601174761023,-5.003914137545331,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,10.079104721067996,4.443738760805761,-2.5493465403346156,3.4723396379566025
314,314,0.005516529083251953,4.705317258834839,162973.7239284979,0.0,6.792157037902992,-1.3976045862516473,3.4362139523172166,9.32075580895769,6.102673970449903,-0.3337574282759207,-1.3096565553806765,-0.5002553017537616,4.939203104952702,-9.490490448180687,-6.158969447502237,1.0948303825366419,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,0.6971390369203894,-5.719702057926638,11.491601174761023,-5.003914137545331,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,10.579104721067996,3.5777133570213224,-2.5493465403346156,3.4723396379566025
315,315,0.011272907257080078,4.716590166091919,162942.02607118356,0.0,6.792157037902992,-1.3976045862516473,3.4362139523172166,9.32075580895769,6.602673970449903,-1.1997828320603596,-1.3096565553806765,-0.5002553017537616,4.939203104952702,-9.490490448180687,-6.158969447502237,1.0948303825366419,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,0.6971390369203894,-5.719702057926638,11.491601174761023,-5.003914137545331,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,10.579104721067996,3.5777133570213224,-2.5493465403346156,3.4723396379566025
316,316,0.01805567741394043,4.734645843505859,163022.91167904544,0.0,6.792157037902992,-1.3976045862516473,3.4362139523172166,9.32075580895769,6.602673970449903,-1.1997828320603596,-0.8096565553806767,-1.3662807055382005,4.939203104952702,-9.490490448180687,-6.158969447502237,1.0948303825366419,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,0.6971390369203894,-5.719702057926638,11.491601174761023,-5.003914137545331,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,10.579104721067996,3.5777133570213224,-2.5493465403346156,3.4723396379566025
317,317,0.015341520309448242,4.749987363815308,162772.7644603186,0.0,7.292157037902992,-0.5315791824672088,3.4362139523172166,9.32075580895769,6.602673970449903,-1.1997828320603596,-0.8096565553806767,-1.3662807055382005,4.939203104952702,-9.490490448180687,-6.158969447502237,1.0948303825366419,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,0.6971390369203894,-5.719702057926638,11.491601174761023,-5.003914137545331,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,10.579104721067996,3.5777133570213224,-2.5493465403346156,3.4723396379566025
318,318,0.010451555252075195,4.760438919067383,163086.87084325982,0.0,6.292157037902992,-0.5315791824672086,3.4362139523172166,9.32075580895769,6.602673970449903,-1.1997828320603596,-0.8096565553806767,-1.3662807055382005,4.939203104952702,-9.490490448180687,-6.158969447502237,1.0948303825366419,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,0.6971390369203894,-5.719702057926638,11.491601174761023,-5.003914137545331,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,10.579104721067996,3.5777133570213224,-2.5493465403346156,3.4723396379566025
319,319,0.013283252716064453,4.773722171783447,163126.17878988746,0.0,6.292157037902992,-0.5315791824672086,3.4362139523172166,9.32075580895769,6.602673970449903,-1.1997828320603596,-0.3096565553806766,-0.500255301753762,4.939203104952702,-9.490490448180687,-6.158969447502237,1.0948303825366419,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,0.6971390369203894,-5.719702057926638,11.491601174761023,-5.003914137545331,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,10.579104721067996,3.5777133570213224,-2.5493465403346156,3.4723396379566025
320,320,0.018525362014770508,4.792247533798218,162908.9812640831,0.0,6.292157037902992,-0.5315791824672086,3.4362139523172166,9.32075580895769,7.102673970449903,-0.33375742827592114,-0.3096565553806766,-0.500255301753762,4.939203104952702,-9.490490448180687,-6.158969447502237,1.0948303825366419,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,0.6971390369203894,-5.719702057926638,11.491601174761023,-5.003914137545331,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,10.579104721067996,3.5777133570213224,-2.5493465403346156,3.4723396379566025
321,321,0.009860515594482422,4.8021080493927,162894.00635562075,0.0,6.292157037902992,-0.5315791824672086,3.4362139523172166,9.32075580895769,7.102673970449903,-0.33375742827592114,0.1903434446193235,0.3657701020306765,4.939203104952702,-9.490490448180687,-6.158969447502237,1.0948303825366419,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,0.6971390369203894,-5.719702057926638,11.491601174761023,-5.003914137545331,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,10.579104721067996,3.5777133570213224,-2.5493465403346156,3.4723396379566025
