,it,it_time,total_time,total_area,sat_0_x,sat_0_y,sat_1_x,sat_1_y,sat_2_x,sat_2_y,sat_3_x,sat_3_y,sat_4_x,sat_4_y,sat_5_x,sat_5_y,sat_6_x,sat_6_y,sat_7_x,sat_7_y,sat_8_x,sat_8_y,sat_9_x,sat_9_y,sat_10_x,sat_10_y,sat_11_x,sat_11_y,sat_12_x,sat_12_y,sat_13_x,sat_13_y,sat_14_x,sat_14_y
921,921,0.0,2.6252963542938232,2929.1819256494855,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935
922,922,0.008077621459960938,2.633373975753784,2970.6500088520334,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935,64.292157037903,-12.65593483544935
923,923,0.0,2.633373975753784,2989.021539799014,63.792157037902996,-11.789909431664912,63.792157037902996,-11.789909431664912,63.792157037902996,-11.789909431664912,63.792157037902996,-11.789909431664912,63.792157037902996,-11.789909431664912,63.792157037902996,-11.789909431664912,63.792157037902996,-11.789909431664912,63.792157037902996,-11.789909431664912,63.792157037902996,-11.789909431664912,63.792157037902996,-11.789909431664912,63.792157037902996,-11.789909431664912,63.792157037902996,-11.789909431664912,63.792157037902996,-11.789909431664912,63.792157037902996,-11.789909431664912,63.792157037902996,-11.789909431664912
924,924,0.0,2.633373975753784,3022.0277074554288,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472
925,925,0.01613593101501465,2.649509906768799,3144.7110695293377,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472
926,926,0.0050373077392578125,2.6545472145080566,3054.0545345285827,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472,63.292157037902996,-10.923884027880472
927,927,0.0,2.6545472145080566,2942.0780096913513,64.292157037903,-10.923884027880472,64.292157037903,-10.923884027880472,64.292157037903,-10.923884027880472,64.292157037903,-10.923884027880472,64.292157037903,-10.923884027880472,64.292157037903,-10.923884027880472,64.292157037903,-10.923884027880472,64.292157037903,-10.923884027880472,64.292157037903,-10.923884027880472,64.292157037903,-10.923884027880472,64.292157037903,-10.923884027880472,64.292157037903,-10.923884027880472,64.292157037903,-10.923884027880472,64.292157037903,-10.923884027880472,64.292157037903,-10.923884027880472
928,928,0.010967254638671875,2.6655144691467285,2785.7120684564397,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472
929,929,0.0,2.6655144691467285,2791.613185151651,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472
930,930,0.0,2.6655144691467285,2778.3158452490206,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472
931,931,0.0,2.6655144691467285,2680.88142210391,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472,65.292157037903,-10.923884027880472
932,932,0.0,2.6655144691467285,2724.8468776221453,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472
933,933,0.0,2.6655144691467285,2695.7493214993483,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472,66.292157037903,-10.923884027880472
934,934,0.0,2.6655144691467285,2669.737756799266,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472
935,935,0.0,2.6655144691467285,2704.627416671625,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472,67.292157037903,-10.923884027880472
936,936,0.0,2.6655144691467285,2650.327797876762,67.792157037903,-11.789909431664912,67.792157037903,-11.789909431664912,67.792157037903,-11.789909431664912,67.792157037903,-11.789909431664912,67.792157037903,-11.789909431664912,67.792157037903,-11.789909431664912,67.792157037903,-11.789909431664912,67.792157037903,-11.789909431664912,67.792157037903,-11.789909431664912,67.792157037903,-11.789909431664912,67.792157037903,-11.789909431664912,67.792157037903,-11.789909431664912,67.792157037903,-11.789909431664912,67.792157037903,-11.789909431664912,67.792157037903,-11.789909431664912
937,937,0.0,2.6655144691467285,2656.694177765683,68.792157037903,-11.789909431664912,68.792157037903,-11.789909431664912,68.792157037903,-11.789909431664912,68.792157037903,-11.789909431664912,68.792157037903,-11.789909431664912,68.792157037903,-11.789909431664912,68.792157037903,-11.789909431664912,68.792157037903,-11.789909431664912,68.792157037903,-11.789909431664912,68.792157037903,-11.789909431664912,68.792157037903,-11.789909431664912,68.792157037903,-11.789909431664912,68.792157037903,-11.789909431664912,68.792157037903,-11.789909431664912,68.792157037903,-11.789909431664912
938,938,0.0,2.6655144691467285,2628.1679521172337,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472
939,939,0.0,2.6655144691467285,2628.4104066577456,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472,68.292157037903,-10.923884027880472
